raw_index,true_sentiment,encoded_sentiment,Feedback_Clean,svm_sentiment,svm_shap_top_features,bert_sentiment,bert_shap_top_tokens
11110,positive,2,perfect product very nice memory card,positive,"perfect, perfect product, very nice, product very, nice, product, card, very, memory card, memory",positive," perfect,  nice,  very,  memory,  card,  product"
6752,neutral,1,good 5 star for the product delivery be on time but after that flipkart forget to arrange the installation and demo after wait for 5 day when I ask they about it they arrange for the installation however this time it be for an ac which I have never purchase from they finally I have to book the installation myself directly with volta so if you do not get a callsm from volta within 2days of delivery call and book your installation with they directly do not wait for flipkart,negative,"for, they, good, from, do not, when, after, time, the installation, book",neutral," good,  forget,  time,  but,  product,  delivery, t, kar,  star,  installation"
10378,neutral,1,good too hot while grind,neutral,"good too, grind, while grind, while, hot while, too hot, too, hot, good",neutral," good,  grin, d,  while,  hot,  too"
525,negative,0,unsatisfactory very bad productnot 30vats,negative,"unsatisfactory, bad, very bad, unsatisfactory very, very, productnot",negative," bad,  un, sat,  very, is,  product, not, fa,  30, vat"
8542,neutral,1,fair not very sturdy and durable not for kid above 3 year,neutral,"fair, not for, not very, for kid, above, and, very, fair not, durable, very sturdy",neutral," fair,  not,  sturdy,  and,  year,  for,  kid,  very,  du,  above"
6285,neutral,1,just okay grind sound be too high,neutral,"just okay, okay, grind, just, high, too high, sound, too, be too, be",neutral," okay, d,  grin,  just,  be,  sound,  too,  high"
10741,neutral,1,fair small size,neutral,"fair, small, size, small size, fair small",neutral," fair,  small,  size"
15475,positive,2,perfect product happy with kajal,positive,"perfect, perfect product, happy, happy with, with, kajal, product, product happy",positive," perfect,  happy,  product,  ka, ja,  with, l"
9109,neutral,1,decent product good,neutral,"decent product, decent, product good, product, good",neutral," decent,  good,  product"
2294,negative,0,useless product very very bad product,negative,"useless, useless product, bad, very bad, very, product very, bad product, very very, product",negative," bad,  useless,  product,  very,  product,  very"
12917,positive,2,mindblowing purchase good excellent,positive,"excellent, mindblowing, mindblowing purchase, purchase, good, purchase good, good excellent",positive," excellent,  good, b, ing,  purchase, low,  mind"
13975,positive,2,excellent good ball for this price look so good and we can gave more curve shot by use this ball its have extra bounce too good stitching also good quality this product not bad your money I m sure about that,positive,"excellent, good, not bad, too good, we can, ball, good and, this, by, bounce",positive," excellent,  good,  this,  good,  too,  so,  ball,  look,  shot,  bad"
2712,negative,0,unsatisfactory delivery boy behavior not good,negative,"unsatisfactory, not good, good, not, delivery, boy, unsatisfactory delivery, delivery boy, behavior",negative," un,  not, sat,  good,  behavior, is,  boy, fa,  delivery, y"
1605,negative,0,very poor output be very less,negative,"poor, very poor, very, output be, be very, output, very less, be, less",negative," poor,  very,  less,  be,  output,  very"
7176,neutral,1,decent product ok ok product,neutral,"ok, decent product, decent, product, ok product, product ok, ok ok",neutral," ok,  decent,  ok,  product,  product"
3556,negative,0,not good not get hit,negative,"not, not good, good, get, hit, good not, not get",negative," not,  hit,  get,  not,  good"
3522,negative,0,slightly disappointed poor quality do not buy,negative,"poor, disappointed, poor quality, not, do not, quality do, disappointed poor, slightly disappointed, slightly, buy",negative," poor,  not,  buy,  disappointed,  slightly,  do,  quality"
5815,neutral,1,decent product little bit small,neutral,"decent product, decent, little, small, product, bit, bit small, little bit",neutral," decent,  small,  bit,  little,  product"
5686,neutral,1,nice after 30min use motor get heat,neutral,"get, 30min, motor, heat, nice, after, nice after, use, motor get, get heat",neutral," get,  nice,  after, min,  heat,  30,  use,  motor"
13681,positive,2,awesome good product,positive,"awesome, good, awesome good, product, good product",positive," awesome,  good,  product"
6120,neutral,1,good its nice but its not work in redmi 9active phone,neutral,"but, its nice, nice but, redmi, phone, nice, in, but its, good its, not work",neutral," good,  but,  its,  work,  not,  9, mi,  nice, active,  phone"
9773,neutral,1,good choice ok,neutral,"ok, good choice, good, choice ok, choice",neutral," good,  ok,  choice"
9416,neutral,1,wonderful this product be very goodbutthis product be very havy,positive,"product be, wonderful, be very, product, wonderful this, this, very, be, goodbutthis, this product",positive," wonderful, but,  good,  product, thi,  this,  be,  very,  product, vy"
6957,neutral,1,do the job one new and one very old material,neutral,"do the, the job, job, and, material, old, very, new, one, do",neutral," job,  do,  one,  new,  material,  and,  old,  the,  very,  one"
7353,neutral,1,valueformoney good product the cycle be a pleasant ride that too at an affordable price,neutral,"valueformoney good, ride, valueformoney, cycle, product the, cycle be, an, price, at an, at",positive," good,  pleasant,  affordable,  value,  ride,  product, form,  that,  the,  price"
